TableCount	1
TABLE 1 ROWS 156 COLS 9
TT	Tên vật tư	Đơn vị tính	Số lượng	Ký hiệu nhãn mác	Xuất xứ	Thời gian bảo hành	Đơn giá	Thành tiền
49	Ống T  PVC Ø21	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
50	Ống T PVC Ø27	Chiếc	50	Tiền Phong	Việt Nam		1.818	90.900
51	Ống T PVC Ø34	Chiếc	50	Tiền Phong	Việt Nam		2.727	136.350
52	Ống T  PVC Ø110	Chiếc	50	Tiền Phong	Việt Nam		67.273	3.363.650
53	Chếch PVC  Ø21	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
54	Chếch PVC  Ø27	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
55	Chếch PVC  Ø34	Chiếc	50	Tiền Phong	Việt Nam		1.818	90.900
56	Chếch PVC  Ø110	Chiếc	50	Tiền Phong	Việt Nam		45.455	2.272.750
57	Mang xông PVC  Ø21	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
58	Mang xông PVC  Ø27	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
59	Mang xông PVC  Ø34	Chiếc	50	Tiền Phong	Việt Nam		909	45.450
60	Mang xông PVC  Ø110	Chiếc	50	Tiền Phong	Việt Nam		34.545	1.727.250
61	Keo dính PVC 50g	Tuýp	50	Tiền Phong	Việt Nam		6.364	318.200
62	Kéo cắt ống nhiệt	Chiếc	5	C-mart A1106/ C-Mart Tool	Trung Quốc		139.090	695.450
63	Cưa sắt cầm tay	Chiếc	5	THT541036/ Total	Trung Quốc		46.364	231.820
64	Ga thoát sàn Inox D90	Chiếc	200	P1515L/ Kelas	Việt Nam		136.364	27.272.800
65	Ga thoát sàn Inox D76	Chiếc	200	SUS8522/ CleanMAX	Việt Nam		209.091	41.818.200
66	Rọ chắn rác Inox Ø110	Chiếc	50	CR110/ CleanMAX	Việt Nam		118.182	5.909.100
67	Rọ chắn rác Inox Ø48	Chiếc	100	CR48/ CleanMAX	Việt Nam		100.000	10.000.000
68	Vòi nước lọc Inox RO dài 30 cm	Chiếc	100	VLN600/ CleanMAX	Việt Nam		227.273	22.727.300
69	Rắc co ren trong Ø20 1/2	Chiếc	30	Tiền Phong	Việt Nam		42.727	1.281.810
70	Rắc co ren trong Ø25 1/2	Chiếc	30	Tiền Phong	Việt Nam		68.182	2.045.460
71	Rắc co ren ngoài Ø20 1/2	Chiếc	30	Tiền Phong	Việt Nam		45.455	1.363.650
72	Rắc co ren ngoài Ø25 1/2	Chiếc	30	Tiền Phong	Việt Nam		70.909	2.127.270
73	Đầu bịt tròn uPVC Ø21	Chiếc	100	Tiền Phong	Việt Nam		909	90.900
74	Đầu bịt tròn uPVC Ø27	Chiếc	100	Tiền Phong	Việt Nam		909	90.900
75	Đầu bịt tròn uPVC Ø34	Chiếc	100	Tiền Phong	Việt Nam		909	90.900
76	Đầu bịt tròn uPVC Ø48	Chiếc	50	Tiền Phong	Việt Nam		1.818	90.900
77	Đầu bịt tròn uPVC Ø60	Chiếc	50	Tiền Phong	Việt Nam		7.273	363.650
